ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
"Cézanne, Gauguin, Seurat, Van Gogh",1929,moma.org/calendar/exhibitions/1767,Paul Cézanne,French,1839,1906,Male,moma.org/artists/1053
"Cézanne, Gauguin, Seurat, Van Gogh",1929,moma.org/calendar/exhibitions/1767,Paul Gauguin,French,1848,1903,Male,moma.org/artists/2098
"Cézanne, Gauguin, Seurat, Van Gogh",1929,moma.org/calendar/exhibitions/1767,Vincent van Gogh,Dutch,1853,1890,Male,moma.org/artists/2206
"Cézanne, Gauguin, Seurat, Van Gogh",1929,moma.org/calendar/exhibitions/1767,Georges-Pierre Seurat,French,1859,1891,Male,moma.org/artists/5358
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Charles Burchfield,American,1893,1967,Male,moma.org/artists/870
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Charles Demuth,American,1883,1935,Male,moma.org/artists/1490
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Preston Dickinson,American,1889,1930,Male,moma.org/artists/1537
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Lyonel Feininger,American,1871,1956,Male,moma.org/artists/1832
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,"George Overbury (""Pop"") Hart",American,1868,1933,Male,moma.org/artists/2519
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Edward Hopper,American,1882,1967,Male,moma.org/artists/2726
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Bernard Karfiol,American,1886,1952,Male,moma.org/artists/3001
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Rockwell Kent,American,1882,1971,Male,moma.org/artists/3065
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Walt Kuhn,American,1877,1949,Male,moma.org/artists/3288
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Yasuo Kuniyoshi,American,1889,1953,Male,moma.org/artists/3296
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Ernest Lawson,American,1873,1939,Male,moma.org/artists/61685
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,John Marin,American,1870,1953,Male,moma.org/artists/3770
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Kenneth Hayes Miller,American,1876,1952,Male,moma.org/artists/3985
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Georgia O'Keeffe,American,1887,1986,Female,moma.org/artists/4360
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Jules Pascin,American,1885,1930,Male,moma.org/artists/4514
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,John Sloan,American,1871,1951,Male,moma.org/artists/5471
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Eugene Speicher,American,1883,1962,Male,moma.org/artists/5559
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Maurice Sterne,American,1877,1957,Male,moma.org/artists/5654
Paintings by 19 Living Americans,1929,moma.org/calendar/exhibitions/1912,Max Weber,American,1881,1961,Male,moma.org/artists/6275
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Pierre Bonnard,French,1867,1947,Male,moma.org/artists/665
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Georges Braque,French,1882,1963,Male,moma.org/artists/744
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Marc Chagall,French,1887,1985,Male,moma.org/artists/1055
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Giorgio de Chirico,Italian,1888,1978,Male,moma.org/artists/1106
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Robert Delaunay,French,1885,1941,Male,moma.org/artists/1479
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,André Derain,French,1880,1954,Male,moma.org/artists/1500
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Maurice Dufrèsne,,,,,moma.org/artists/61686
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Raoul Dufy,French,1877,1953,Male,moma.org/artists/1646
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Jean Fautrier,French,1898,1964,Male,moma.org/artists/1815
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Jean-Louis Forain,French,1852,1931,Male,moma.org/artists/1935
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Othon Friesz,French,1879,1949,Male,moma.org/artists/2012
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Marcel Gromaire,French,1892,1971,Male,moma.org/artists/2356
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Moïse Kisling,French,1891,1953,Male,moma.org/artists/22445
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Marie Laurencin,French,1883,1956,Female,moma.org/artists/3408
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Fernand Léger,French,1881,1955,Male,moma.org/artists/6624
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Jean Lurçat,French,1892,1966,Male,moma.org/artists/3641
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Henri Matisse,French,1869,1954,Male,moma.org/artists/3832
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Joan Miró,Spanish,1893,1983,Male,moma.org/artists/4016
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Pablo Picasso,Spanish,1881,1973,Male,moma.org/artists/4609
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Georges Rouault,French,1871,1958,Male,moma.org/artists/5053
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,André Dunoyer de Segonzac,French,1884,1974,Male,moma.org/artists/5318
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Chaim Soutine,French,1893,1943,Male,moma.org/artists/5543
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Léopold Survage,French,1879,1968,Male,moma.org/artists/5735
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Maurice Utrillo,French,1883,1955,Male,moma.org/artists/6046
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Maurice de Vlaminck,French,1876,1958,Male,moma.org/artists/6177
Painting in Paris,1930,moma.org/calendar/exhibitions/2024,Édouard Vuillard,French,1868,1940,Male,moma.org/artists/6194
"Weber, Klee, Lehmbruck, Maillol",1930,moma.org/calendar/exhibitions/1766,Paul Klee,German,1879,1940,Male,moma.org/artists/3130
"Weber, Klee, Lehmbruck, Maillol",1930,moma.org/calendar/exhibitions/1766,Wilhelm Lehmbruck,German,1881,1919,Male,moma.org/artists/3464
"Weber, Klee, Lehmbruck, Maillol",1930,moma.org/calendar/exhibitions/1766,Aristide Maillol,French,1861,1944,Male,moma.org/artists/3697
"Weber, Klee, Lehmbruck, Maillol",1930,moma.org/calendar/exhibitions/1766,Max Weber,American,1881,1961,Male,moma.org/artists/6275
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,"A. Everett Austin, Jr.",,,,,moma.org/artists/16555
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Awa Tsireh (Alfonso Roybal),American,1900,1955,Male,moma.org/artists/253
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Peggy Bacon,American,1895,1987,Female,moma.org/artists/273
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Ahron Ben-Shmuel,American,1903,1984,Male,moma.org/artists/462
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Jane Berlandina,,,,,moma.org/artists/49738
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Virginia Berresford,,,,,moma.org/artists/49739
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Edward Biberman,,,,,moma.org/artists/49740
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Peter Blume,American,1906,1992,Male,moma.org/artists/617
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Francisco Borès,Spanish,1898,1972,Male,moma.org/artists/678
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Alexander Brook,American,1898,1980,Male,moma.org/artists/796
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Gladys Caldwell,,,,,moma.org/artists/49742
46 Painters and Sculptors under 35 Years of Age,1930,moma.org/calendar/exhibitions/2025,Harold Cash,,,,,moma.org/artists/49741
